course_code,competency,competency_score,keyword_score,total_score
COMM/COMR 388,Negotiating skills,0.08101178798824549,0.7768403738737106,0.42892608093097806
COMM/COMR 388,Self-Aware,0.29146264865994453,0.838713750243187,0.5650881994515657
COMM/COMR 388,Enterprising Traits,0.8221989721059799,0.620234887348488,0.721216929727234
COMM/COMR 388,Self-Directed,0.07312485738657415,0.317855934612453,0.19549039599951357
COMM/COMR 388,Teamwork,0.7600423246622086,0.734348326921463,0.7471953257918358
COMM/COMR 388,Uncertainty Management,0.5288668721914291,0.4098045746795833,0.4693357234355062
COMM 389,Entrepreneurial Mindset,0.5706980004906654,0.23749007657170296,0.4040940385311842
COMM 389,Opportunity Recognition,0.37883270159363747,0.3014952354133129,0.3401639685034752
COMM 389,Market Research,0.24066028371453285,0.24492619605734944,0.24279323988594115
COMM 389,Product Development,0.27020808681845665,0.2706563603132963,0.2704322235658765
COMM 389,Marketing,0.23657584562897682,0.14507433865219355,0.19082509214058518
COMM 389,Business Modeling,0.31763478741049767,0.2056087525561452,0.26162176998332143
COMM 389,Managerial Decision Making,0.3395706042647362,0.4469594545662403,0.39326502941548824
COMM 389,Legal ,0.12406622804701328,0.08399201626889408,0.10402912215795368
COMM 389,Financial Decision Making,0.18448803201317787,0.08512475853785872,0.1348063952755183
COMM 389,Observational skills,0.40686687640845776,0.7908002585172653,0.5988335674628615
COMM 389,Creativity skills,0.9580896347761154,0.8824681341648102,0.9202788844704628
COMM 389,Problem solving skills,0.5545101277530193,0.381632212549448,0.4680711701512337
COMM 389,Communication skills,0.6540654748678207,0.864955261349678,0.7595103681087494
COMM 389,Decision-making skills,0.27797291055321693,0.511231956537813,0.39460243354551494
COMM 389,Planning and project managing skills,0.34653873706702143,0.4064001329243183,0.37646943499566987
COMM 389,Networking skills,0.23713411763310432,0.6337438516784459,0.43543898465577513
COMM 389,Negotiating skills,0.24215983599424362,0.44458725303411484,0.34337354451417923
COMM 389,Self-Aware,0.5569481998682022,0.892446294426918,0.7246972471475601
COMM 389,Enterprising Traits,0.6984768956899643,0.5232194438576698,0.6108481697738171
COMM 389,Self-Directed,0.2906373362056911,0.4963785633444786,0.39350794977508485
COMM 389,Teamwork,0.6739466190338135,0.44519377732649446,0.559570198180154
COMM 389,Uncertainty Management,0.32300666719675064,0.7029887139797211,0.5129976905882359
COMM 466/APSC486/APSC496A/E  = 2 Term Course,Entrepreneurial Mindset,0.5637208819389343,0.33954180032014847,0.4516313411295414
COMM 466/APSC486/APSC496A/E  = 2 Term Course,Opportunity Recognition,0.44566380812062156,0.4317460333307584,0.43870492072569
COMM 466/APSC486/APSC496A/E  = 2 Term Course,Market Research,0.28691371550990474,0.36118056200858617,0.32404713875924546
COMM 466/APSC486/APSC496A/E  = 2 Term Course,Product Development,0.3451203818096676,0.5687615515457259,0.4569409666776968
COMM 466/APSC486/APSC496A/E  = 2 Term Course,Marketing,0.21948913257155153,0.2436243813070986,0.23155675693932506
COMM 466/APSC486/APSC496A/E  = 2 Term Course,Business Modeling,0.4636150397774246,0.5341773947907819,0.4988962172841032
COMM 466/APSC486/APSC496A/E  = 2 Term Course,Managerial Decision Making,0.1225513368844986,0.48494530179434353,0.30374831933942104
COMM 466/APSC486/APSC496A/E  = 2 Term Course,Legal ,0.10581426198283832,0.06252124864194128,0.08416775531238979
COMM 466/APSC486/APSC496A/E  = 2 Term Course,Financial Decision Making,0.237734567373991,0.3197547973444064,0.2787446823591987
COMM 466/APSC486/APSC496A/E  = 2 Term Course,Observational skills,0.3751666607956092,0.6659785095188353,0.5205725851572223
COMM 466/APSC486/APSC496A/E  = 2 Term Course,Creativity skills,0.6251318272617128,0.7612959941228231,0.6932139106922679
COMM 466/APSC486/APSC496A/E  = 2 Term Course,Problem solving skills,0.43469616439607406,0.46173694647020763,0.4482165554331409
